ds,RealVal,PatchTST,LSTM
1/13/2024 5:00,3.2,3.323845863,3.71551919
1/13/2024 6:00,2.5,2.530552149,2.9847188
1/13/2024 7:00,3.2,2.157305002,2.720686436
1/13/2024 8:00,0.7,3.518556833,3.263221264
1/13/2024 9:00,1.8,0.275120676,1.24570322
1/13/2024 10:00,3.2,2.457241774,2.360665321
1/13/2024 11:00,2.5,4.544598579,3.790343285
1/13/2024 12:00,2.2,2.225867987,2.22310257
1/13/2024 13:00,2.2,2.12746954,2.224980831
1/13/2024 14:00,3.6,2.420090914,2.401304245
1/13/2024 15:00,5,4.820397377,3.735548258
1/13/2024 16:00,6.5,6.225455284,5.182474136
1/13/2024 17:00,7.2,7.453440189,6.446122646
1/13/2024 18:00,8.6,7.800632,6.907558918
1/13/2024 19:00,7.2,9.655852318,8.643612862
1/13/2024 20:00,7.2,6.350952625,6.203110695
1/13/2024 21:00,7.2,6.84458828,6.264694214
1/13/2024 22:00,10.4,7.095592976,7.115146637
1/13/2024 23:00,5.4,12.54098034,11.30575371
1/14/2024 0:00,5.4,3.266539812,4.301746368
1/14/2024 1:00,5.4,5.138893127,4.768602848
1/14/2024 2:00,4.7,5.679819584,5.519737244
1/14/2024 3:00,3.6,4.110961437,4.183718681
1/14/2024 4:00,4.3,2.965795994,3.404892445
1/14/2024 5:00,3.2,4.553236008,4.376608372
1/14/2024 6:00,4.3,2.852038383,2.924968719
1/14/2024 7:00,5.8,4.656721592,4.476119041
1/14/2024 8:00,4.7,6.819185257,6.010602951
1/14/2024 9:00,2.9,4.331097126,4.030497551
1/14/2024 10:00,1.1,2.488873959,2.614965439
1/14/2024 11:00,5.4,0.889025867,1.519602299
1/14/2024 12:00,9.4,8.140717506,7.354466915
1/14/2024 13:00,9.7,12.56641006,10.97016621
1/14/2024 14:00,11.2,9.720606804,9.005916595
1/14/2024 15:00,14,12.56335735,11.84602356
1/14/2024 16:00,18.4,16.24671745,15.59967804
1/14/2024 17:00,13.3,20.99424934,18.89382362
1/14/2024 18:00,7.2,10.24454212,10.04174709
1/14/2024 19:00,4.3,4.568524361,5.410182953
1/14/2024 20:00,5,3.718013287,4.306227684
1/14/2024 21:00,6.5,5.456219673,5.12473774
1/14/2024 22:00,5.4,7.172338009,6.049913883
1/14/2024 23:00,4,4.405524254,4.843362808
1/15/2024 0:00,4.7,3.035215855,3.785974503
1/15/2024 1:00,5,5.291974545,4.725898266
1/15/2024 2:00,4.3,4.96288681,4.769958019
1/15/2024 3:00,5,3.735678673,4.011234283
1/15/2024 4:00,4.7,5.298668861,4.985531807
1/15/2024 5:00,3.6,4.783669949,4.401128292
1/15/2024 6:00,2.9,3.289026499,3.366168022
1/15/2024 7:00,2.5,2.571849823,2.89513588
1/15/2024 8:00,1.1,2.413925648,2.651640415
1/15/2024 9:00,1.1,0.921082556,1.537620068
1/15/2024 10:00,0.7,1.476267934,1.777979851
1/15/2024 11:00,0.4,1.106338978,1.270014763
1/15/2024 12:00,3.2,0.570758224,1.028530598
1/15/2024 13:00,2.5,5.361368179,5.723810673
1/15/2024 14:00,4.3,2.703941584,2.681125641
1/15/2024 15:00,4.3,5.861023903,5.871676445
1/15/2024 16:00,5.4,4.576749325,4.820382118
1/15/2024 17:00,5.4,5.830230713,5.504997253
1/15/2024 18:00,6.1,5.259216785,5.255561352
1/15/2024 19:00,5.4,6.084495068,5.724455833
1/15/2024 20:00,1.8,4.833285809,4.751461029
1/15/2024 21:00,2.5,0.627608061,2.143576622
1/15/2024 22:00,3.2,2.940972328,2.857397079
1/15/2024 23:00,4.7,3.770466566,3.784568787
1/16/2024 0:00,3.6,5.337145805,4.254621983
1/16/2024 1:00,4.3,2.957809448,3.223620415
1/16/2024 2:00,2.9,4.40001297,4.149268627
1/16/2024 3:00,3.6,2.449493408,2.801907539
1/16/2024 4:00,3.2,3.778470039,3.553483009
1/16/2024 5:00,3.2,3.279397964,3.107897758
1/16/2024 6:00,2.5,3.403666019,3.061643839
